id,age,salary,experience,score,category
218,49,89485.73,20,31.29,D
916,62,89025.25,8,65.34,B
696,45,88695.64,34,58.45,D
117,29,88600.4,13,53.2,B
225,41,88401.27,16,18.69,B
954,41,88372.99,9,27.3,C
343,41,87903.99,11,37.22,A
754,38,87394.99,22,30.25,A
310,50,86829.5,29,73.94,A
77,25,86686.28,33,22.49,B
628,53,86596.29,17,89.17,D
579,52,86051.23,10,63.68,B
739,23,84789.94,31,7.48,B
285,57,84483.47,22,45.07,B
624,24,84364.14,10,57.12,D
46,31,84060.39,14,89.46,C
620,62,83786.54,23,80.13,D
692,53,83157.85,29,91.02,C
876,43,82475.04,13,77.36,D
372,57,82448.82,21,78.4,B
845,39,82359.62,32,37.65,A
682,27,82177.24,0,57.97,D
486,22,82134.06,35,88.16,B
565,53,81325.62,2,59.98,B
546,56,81151.22,36,71.32,A
24,38,81131.01,27,77.31,D
475,54,81128.91,25,67.89,C
959,45,80922.55,39,78.42,A
889,63,80843.11,37,91.5,D
855,31,80200.81,2,92.45,C
332,52,80153.07,3,91.15,A
958,37,80091.39,7,94.15,C
572,45,78710.47,3,13.37,B
989,53,78268.79,2,1.52,D
85,64,78230.37,33,43.01,A
394,40,78217.36,25,82.65,A
68,35,78151.94,20,87.74,B
982,64,77811.39,21,73.39,B
113,45,77734.34,20,29.0,C
348,50,77700.61,21,28.33,C
407,32,77699.55,18,80.93,C
842,35,77390.15,37,62.35,C
232,50,77186.73,32,87.8,D
430,36,77014.11,17,48.94,B
459,31,76965.3,19,41.19,B
326,45,76938.17,19,67.07,B
338,63,76918.37,0,35.49,D
230,28,76562.01,26,93.5,B
170,45,76321.91,31,12.2,C
140,44,76284.06,35,33.7,A
672,58,76243.65,24,5.44,B
477,27,76039.46,20,95.14,D
487,62,75913.15,34,73.13,C
945,47,75904.46,14,27.29,B
834,49,75675.63,36,33.76,D
914,20,75533.22,6,63.71,A
172,61,75446.85,11,85.05,D
503,54,75258.92,23,1.55,B
699,53,75165.51,13,7.86,C
34,32,75146.56,12,78.44,B
719,62,75088.59,2,21.62,D
929,58,75048.57,28,43.56,A
104,34,75035.32,31,82.67,B
201,56,74982.12,18,54.07,D
617,55,74630.23,37,82.67,D
698,58,74586.75,2,64.26,B
587,62,74501.47,18,82.38,D
702,26,74425.95,33,59.41,B
595,46,74205.67,36,74.78,D
900,27,74110.18,33,85.65,D
611,26,73917.58,16,66.68,D
87,43,73897.8,9,84.58,C
289,52,73693.58,18,24.95,C
376,56,73661.8,11,59.88,C
498,29,73609.8,39,40.46,B
391,33,73482.86,7,94.25,C
850,58,73422.67,23,29.39,C
299,53,73257.51,35,62.52,D
325,50,73212.58,4,54.69,D
990,30,73148.65,29,58.14,B
957,19,73131.65,12,11.48,C
793,35,72961.26,5,47.09,D
94,18,72943.25,33,25.53,B
881,19,72927.03,37,92.84,C
979,50,72701.75,4,68.22,D
130,52,72559.89,22,73.17,D
449,22,72550.97,1,24.37,B
870,25,72520.0,37,76.29,B
541,41,72511.4,5,35.02,C
72,27,72440.66,6,75.18,D
796,44,72360.89,16,68.7,A
972,61,72162.95,32,94.02,B
511,61,72148.11,0,54.56,C
837,46,72067.55,30,25.26,B
288,42,71800.77,2,52.58,A
275,33,71704.67,18,6.83,C
416,21,71656.47,11,82.89,A
6,38,71623.53,3,95.3,D
428,36,71601.76,19,72.19,C
317,55,71307.56,15,8.43,B
284,55,71140.21,37,56.37,C
463,47,70990.33,28,54.67,D
644,45,70880.03,12,40.23,A
775,61,70853.11,23,98.42,C
629,23,70764.09,27,84.92,C
357,48,70732.38,27,20.62,D
512,46,70701.37,0,98.17,C
604,34,70635.6,38,85.81,B
662,33,70462.11,18,46.12,D
66,21,70334.57,18,84.73,A
86,41,70181.3,0,90.38,B
424,33,69937.29,26,1.33,D
873,64,69922.91,21,22.67,D
473,50,69760.91,0,11.43,D
849,22,69526.12,8,19.95,D
921,39,69346.29,22,50.63,A
366,19,69176.78,26,87.37,D
142,32,69073.33,20,40.58,C
952,54,68938.76,25,90.48,D
271,26,68836.34,13,14.39,A
678,33,68716.13,39,81.03,A
133,31,68691.28,4,75.91,C
911,42,68574.25,15,33.22,D
732,30,68541.4,18,55.19,A
717,27,68415.03,33,12.52,B
983,18,68315.51,17,63.22,C
794,47,68281.43,11,65.61,B
737,18,68196.47,16,5.52,D
960,28,68125.49,3,46.24,D
361,41,68097.63,2,91.53,C
27,39,68018.21,27,45.82,A
861,64,68006.21,0,61.53,C
933,51,67949.47,12,31.32,A
827,33,67948.57,34,78.56,C
387,37,67925.7,34,92.4,D
806,46,67859.69,20,81.79,D
599,64,67842.06,33,26.4,C
316,55,67835.25,21,89.01,B
342,54,67825.9,11,59.48,D
584,40,67805.45,39,46.31,B
865,60,67785.56,12,93.52,C
904,39,67602.11,31,31.8,A
520,34,67590.94,30,7.0,B
356,59,67539.43,27,42.75,B
15,41,67516.73,19,82.94,B
530,21,67412.4,30,83.14,A
154,56,67389.95,2,62.84,A
227,51,67239.1,10,39.07,D
525,27,67231.49,7,36.95,D
42,56,67156.31,32,80.83,A
114,24,66898.48,14,93.1,A
418,62,66759.44,25,52.16,D
352,50,66630.55,19,25.34,B
567,58,66622.74,31,86.86,C
583,53,66582.89,17,82.59,D
178,56,66549.53,12,66.51,B
92,32,66412.87,1,54.45,A
132,64,66372.6,18,41.59,C
733,50,66369.65,18,78.94,A
988,28,66331.23,29,21.79,A
771,51,66288.43,21,0.31,C
248,50,66211.71,3,60.11,D
505,20,66180.21,33,20.8,C
383,30,66104.48,28,28.1,C
884,31,66087.61,23,75.37,C
355,42,66000.12,6,77.07,C
282,25,65982.21,13,70.38,D
216,61,65804.63,25,50.15,A
258,48,65797.29,38,97.9,D
582,38,65759.82,34,52.87,B
471,56,65743.29,11,98.04,B
164,45,65735.14,31,97.24,B
502,60,65706.47,32,64.78,C
346,48,65662.41,25,38.33,B
840,38,65598.57,8,58.89,B
57,52,65563.1,36,3.26,A
277,37,65477.67,13,69.58,A
549,40,65454.25,5,34.7,D
197,49,65437.33,28,55.9,B
961,21,65360.94,30,86.5,B
627,21,65338.56,26,96.12,D
202,19,65215.55,10,42.96,C
618,36,65147.26,10,90.31,D
1,56,65094.39,9,65.91,B
563,30,64970.15,21,58.85,C
537,53,64944.0,3,58.1,A
867,43,64940.72,9,70.81,B
764,49,64880.64,11,70.67,C
301,21,64764.84,16,5.05,C
200,29,64740.36,5,53.43,D
621,18,64726.48,22,67.43,B
236,46,64588.32,1,8.39,D
598,35,64461.31,26,46.4,B
691,45,64458.19,3,68.57,D
746,20,64350.53,13,15.56,C
970,43,64329.58,19,44.01,B
807,21,64243.31,12,51.01,D
648,18,64111.57,21,73.3,D
263,33,64074.26,17,51.97,C
141,26,64035.18,36,99.95,C
810,27,64014.8,23,86.96,A
948,26,63988.86,21,91.32,A
878,40,63917.6,34,62.63,C
464,63,63869.51,37,57.54,D
161,49,63860.41,0,78.07,D
759,62,63786.15,13,7.65,A
645,25,63774.75,30,39.06,C
561,42,63744.92,12,71.28,C
469,43,63427.9,1,93.31,C
676,18,63423.87,36,55.47,D
280,41,63344.46,39,55.34,C
508,57,63254.9,6,18.17,A
450,39,63160.43,10,26.76,D
404,39,63086.86,38,87.26,D
25,50,63066.87,6,31.0,C
575,36,63051.02,23,95.85,B
65,59,63044.09,23,41.56,C
895,52,62907.1,39,5.55,C
632,61,62801.23,34,8.02,A
542,52,62753.33,14,67.75,B
435,40,62609.65,35,78.94,C
756,26,62577.36,17,17.01,B
3,32,62535.38,35,63.65,A
249,57,62508.83,24,99.04,D
714,64,62502.93,25,37.54,D
51,45,62455.04,23,95.48,A
37,20,62441.08,35,80.48,B
99,18,62347.56,23,36.44,C
353,20,62307.23,28,98.77,C
774,18,62266.49,22,44.17,D
894,55,62236.06,16,19.98,C
443,42,61787.0,11,63.46,B
963,23,61675.42,10,71.71,B
523,46,61575.48,37,70.66,D
40,38,61562.98,20,17.79,C
442,49,61406.22,32,12.15,D
816,23,61387.33,8,13.17,B
633,56,61383.93,8,31.22,C
63,19,61354.83,25,38.63,B
919,53,61300.12,7,61.96,D
370,43,61193.8,37,53.5,C
186,23,61148.96,24,48.25,C
847,23,61131.43,22,26.54,D
902,34,61023.17,5,92.74,A
557,58,60989.6,21,54.16,B
555,42,60914.44,16,77.43,C
80,57,60886.5,21,56.33,A
943,47,60835.72,19,24.0,C
143,32,60825.08,7,22.05,D
866,34,60784.3,9,37.58,D
148,56,60694.98,19,41.45,D
151,47,60664.4,1,26.9,D
426,59,60635.06,29,45.92,B
400,40,60625.35,16,55.34,A
745,55,60621.63,31,0.87,A
233,26,60616.28,19,60.55,A
602,27,60517.59,20,82.43,D
222,28,60504.65,10,62.8,A
467,33,60473.35,29,69.66,A
969,25,60445.81,4,10.71,C
112,58,60443.1,39,4.54,B
347,52,60228.37,28,49.35,C
260,59,60222.51,34,18.98,D
843,45,60168.89,10,60.03,A
304,38,60122.29,32,93.63,D
922,51,60097.72,24,35.04,C
