rank,name,stars,forks,issues,description
1,public-apis/public-apis,413272,44728,1042,A collective list of free APIs
2,EbookFoundation/free-programming-books,384400,66046,76,:books: Freely available programming books
3,donnemartin/system-design-primer,339777,54979,517,Learn how to design large-scale systems. Prep for the system design interview.  
4,vinta/awesome-python,288404,27460,19,"An opinionated list of Python frameworks, libraries, tools, and resources."
5,TheAlgorithms/Python,218952,50234,887,All Algorithms implemented in Python
6,Significant-Gravitas/AutoGPT,182686,46226,371,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our"
7,AUTOMATIC1111/stable-diffusion-webui,161935,30195,2469,Stable Diffusion web UI
8,huggingface/transformers,158224,32562,2300,🤗 Transformers: the model-definition framework for state-of-the-art machine lear
9,yt-dlp/yt-dlp,152509,12375,2386,A feature-rich command-line audio/video downloader
10,521xueweihan/HelloGitHub,146981,11248,304,":octocat: 分享 GitHub 上有趣、入门级的开源项目。Share interesting, entry-level open source proj"
11,langflow-ai/langflow,146027,8630,895,Langflow is a powerful tool for building and deploying AI-powered agents and wor
12,ytdl-org/youtube-dl,139930,10603,4120,Command-line program to download videos from YouTube.com and other video sites
13,langchain-ai/langchain,130535,21502,488,The agent engineering platform
14,open-webui/open-webui,128188,18114,285,"User-friendly AI Interface (Supports Ollama, OpenAI API, ...)"
15,Comfy-Org/ComfyUI,106599,12271,3873,"The most powerful and modular diffusion model GUI, api and backend with a graph/"
16,Shubhamsaboo/awesome-llm-apps,103084,15035,3,"Collection of awesome LLM apps with AI Agents and RAG using OpenAI, Anthropic, G"
17,deepseek-ai/DeepSeek-V3,102292,16591,114,
18,anthropics/skills,99476,10822,544,Public repository for Agent Skills
19,pytorch/pytorch,98481,27265,18057,Tensors and Dynamic neural networks in Python with strong GPU acceleration
20,fastapi/fastapi,96469,8899,163,"FastAPI framework, high performance, easy to learn, fast to code, ready for prod"
21,openai/whisper,96419,11908,116,Robust Speech Recognition via Large-Scale Weak Supervision
22,nvbn/thefuck,95742,3857,416,Magnificent app which corrects your previous console command.
23,microsoft/markitdown,91478,5429,481,Python tool for converting files and office documents to Markdown.
24,django/django,87126,33778,432,The Web framework for perfectionists with deadlines.
25,home-assistant/core,85538,37032,3604,:house_with_garden: Open source home automation that puts local control and priv
26,3b1b/manim,85437,7175,477,Animation engine for explanatory math videos
27,browser-use/browser-use,81956,9642,229,🌐 Make websites accessible for AI agents. Automate tasks online with ease.
28,bregman-arie/devops-exercises,81654,18897,41,"Linux, Jenkins, AWS, SRE, Prometheus, Docker, Python, Ansible, Git, Kubernetes, "
29,hacksider/Deep-Live-Cam,80239,11715,101,real time face swap and one-click video deepfake with only a single image
30,github/spec-kit,79580,6735,624,💫 Toolkit to help you get started with Spec-Driven Development
